RUN	GenericSageMakerScenario	1628679131-ml.m5.large-1-60TPS	1628679133774	 	3.2.0
REQUEST	70		SageMaker-LEARNING-model-simulator-1	1628679137203	1628679137221	OK	 
USER	SageMaker	70	END	1628679137202	1628679137222
USER	SageMaker	71	START	1628679137222	1628679137222
REQUEST	71		SageMaker-LEARNING-model-simulator-1	1628679137224	1628679137233	OK	 
USER	SageMaker	71	END	1628679137222	1628679137234
USER	SageMaker	72	START	1628679137243	1628679137243
USER	SageMaker	73	START	1628679137253	1628679137253
REQUEST	72		SageMaker-LEARNING-model-simulator-1	1628679137244	1628679137269	OK	 
USER	SageMaker	72	END	1628679137243	1628679137270
USER	SageMaker	74	START	1628679137272	1628679137272
REQUEST	73		SageMaker-LEARNING-model-simulator-1	1628679137254	1628679137274	OK	 
USER	SageMaker	73	END	1628679137253	1628679137275
REQUEST	74		SageMaker-LEARNING-model-simulator-1	1628679137273	1628679137283	OK	 
USER	SageMaker	74	END	1628679137272	1628679137284
USER	SageMaker	75	START	1628679137292	1628679137292
USER	SageMaker	76	START	1628679137302	1628679137302
REQUEST	75		SageMaker-LEARNING-model-simulator-1	1628679137293	1628679137316	OK	 
USER	SageMaker	75	END	1628679137292	1628679137317
USER	SageMaker	77	START	1628679137322	1628679137322
REQUEST	76		SageMaker-LEARNING-model-simulator-1	1628679137303	1628679137324	OK	 
USER	SageMaker	76	END	1628679137302	1628679137325
REQUEST	77		SageMaker-LEARNING-model-simulator-1	1628679137324	1628679137334	OK	 
USER	SageMaker	77	END	1628679137322	1628679137335
USER	SageMaker	78	START	1628679137343	1628679137343
USER	SageMaker	79	START	1628679137353	1628679137353
REQUEST	78		SageMaker-LEARNING-model-simulator-1	1628679137344	1628679137353	OK	 
USER	SageMaker	78	END	1628679137343	1628679137354
USER	SageMaker	80	START	1628679137372	1628679137372
REQUEST	80		SageMaker-LEARNING-model-simulator-1	1628679137373	1628679137384	OK	 
USER	SageMaker	80	END	1628679137372	1628679137385
REQUEST	79		SageMaker-LEARNING-model-simulator-1	1628679137354	1628679137388	OK	 
USER	SageMaker	79	END	1628679137353	1628679137389
USER	SageMaker	81	START	1628679137392	1628679137392
USER	SageMaker	82	START	1628679137402	1628679137402
REQUEST	81		SageMaker-LEARNING-model-simulator-1	1628679137393	1628679137405	OK	 
USER	SageMaker	81	END	1628679137392	1628679137405
REQUEST	82		SageMaker-LEARNING-model-simulator-1	1628679137403	1628679137422	OK	 
USER	SageMaker	83	START	1628679137422	1628679137422
USER	SageMaker	82	END	1628679137402	1628679137423
REQUEST	83		SageMaker-LEARNING-model-simulator-1	1628679137424	1628679137434	OK	 
USER	SageMaker	83	END	1628679137422	1628679137435
USER	SageMaker	84	START	1628679137443	1628679137443
USER	SageMaker	85	START	1628679137453	1628679137453
REQUEST	84		SageMaker-LEARNING-model-simulator-1	1628679137444	1628679137463	OK	 
USER	SageMaker	84	END	1628679137443	1628679137464
REQUEST	85		SageMaker-LEARNING-model-simulator-1	1628679137454	1628679137466	OK	 
USER	SageMaker	85	END	1628679137453	1628679137467
USER	SageMaker	86	START	1628679137473	1628679137473
REQUEST	86		SageMaker-LEARNING-model-simulator-1	1628679137474	1628679137485	OK	 
USER	SageMaker	86	END	1628679137473	1628679137486
USER	SageMaker	87	START	1628679137492	1628679137492
USER	SageMaker	88	START	1628679137502	1628679137502
REQUEST	87		SageMaker-LEARNING-model-simulator-1	1628679137493	1628679137503	OK	 
USER	SageMaker	87	END	1628679137492	1628679137503
REQUEST	88		SageMaker-LEARNING-model-simulator-1	1628679137503	1628679137522	OK	 
USER	SageMaker	88	END	1628679137502	1628679137522
USER	SageMaker	89	START	1628679137522	1628679137522
REQUEST	89		SageMaker-LEARNING-model-simulator-1	1628679137523	1628679137534	OK	 
USER	SageMaker	89	END	1628679137522	1628679137535
USER	SageMaker	90	START	1628679137543	1628679137543
USER	SageMaker	91	START	1628679137553	1628679137553
REQUEST	91		SageMaker-LEARNING-model-simulator-1	1628679137554	1628679137565	OK	 
USER	SageMaker	91	END	1628679137553	1628679137566
REQUEST	90		SageMaker-LEARNING-model-simulator-1	1628679137544	1628679137566	OK	 
USER	SageMaker	90	END	1628679137543	1628679137567
USER	SageMaker	92	START	1628679137573	1628679137573
USER	SageMaker	93	START	1628679137592	1628679137592
REQUEST	92		SageMaker-LEARNING-model-simulator-1	1628679137574	1628679137594	OK	 
USER	SageMaker	92	END	1628679137573	1628679137594
USER	SageMaker	94	START	1628679137602	1628679137602
REQUEST	93		SageMaker-LEARNING-model-simulator-1	1628679137593	1628679137607	OK	 
USER	SageMaker	93	END	1628679137592	1628679137607
REQUEST	94		SageMaker-LEARNING-model-simulator-1	1628679137603	1628679137612	OK	 
USER	SageMaker	94	END	1628679137602	1628679137613
USER	SageMaker	95	START	1628679137622	1628679137622
USER	SageMaker	96	START	1628679137643	1628679137643
REQUEST	95		SageMaker-LEARNING-model-simulator-1	1628679137623	1628679137644	OK	 
USER	SageMaker	95	END	1628679137622	1628679137645
USER	SageMaker	97	START	1628679137653	1628679137653
REQUEST	96		SageMaker-LEARNING-model-simulator-1	1628679137644	1628679137664	OK	 
USER	SageMaker	96	END	1628679137643	1628679137665
REQUEST	97		SageMaker-LEARNING-model-simulator-1	1628679137654	1628679137666	OK	 
USER	SageMaker	97	END	1628679137653	1628679137666
USER	SageMaker	98	START	1628679137673	1628679137673
REQUEST	98		SageMaker-LEARNING-model-simulator-1	1628679137674	1628679137686	OK	 
USER	SageMaker	98	END	1628679137673	1628679137687
USER	SageMaker	99	START	1628679137692	1628679137692
USER	SageMaker	100	START	1628679137702	1628679137702
REQUEST	99		SageMaker-LEARNING-model-simulator-1	1628679137693	1628679137703	OK	 
